Company_ID,Date,Industry_Sector,Total_Assets,Total_Liabilities,Current_Assets,Current_Liabilities,Net_Income,Revenue,Operating_Income,Cash_Flow,Debt_Equity_Ratio,Return_on_Assets,Working_Capital_Ratio,Stock_Price_Close,Volatility_Index,GDP_Growth_Rate,Interest_Rate,Inflation_Rate,Financial_Risk_Label
C5706,2024-06-30,Finance,846413932.98,324289665.02,91702381.06,6176096.46,64545496.57,345517097.62,58737906.595400006,64540302.19,0.62,0.0763,14.85,478.57,20.57,7.17,7.66,3.09,0
C1577,2022-12-31,Technology,667434025.23,426789233.4,11734194.94,10982065.94,110590002.14,278257041.18,47303697.0006,110649266.92,1.77,0.1657,1.07,577.31,35.17,6.77,6.46,1.54,0
C5016,2016-06-30,Energy,463757329.7,296159881.33,9983638.68,3811938.05,64675749.41,211583135.49,44432458.4529,64681724.87,1.77,0.1395,2.62,463.87,33.94,2.07,9.42,6.67,0
C2817,2019-03-31,Manufacturing,359219999.6,49808079.08,93621021.75,49646893.27,30855209.84,31301238.21,2504099.0568,30776133.44,0.16,0.0859,1.89,116.6,24.74,-4.97,1.09,4.29,0
C2287,2015-12-31,Manufacturing,977627360.34,622090498.91,72479345.81,35533291.66,65179399.89,15931430.05,4460800.414000001,65247281.94,1.75,0.0667,2.04,986.99,22.13,5.49,1.62,4.02,0
C1162,2022-03-31,Healthcare,26393597.51,16962782.69,5961715.17,2819651.1,1044976.63,8050700.3,1771154.066,977127.36,1.8,0.0396,2.11,567.89,33.25,6.73,5.68,4.01,0
C2165,2019-06-30,Finance,566104096.35,215346575.97,43587946.86,25885779.41,18853592.26,229701469.54,45940293.908,18927854.6,0.61,0.0333,1.68,427.54,35.6,6.41,5.69,5.0,0
C1338,2024-03-31,Manufacturing,413935293.06,225090592.6,19217773.94,15903623.5,77990064.03,197181952.2,13802736.654,78073940.08,1.19,0.1884,1.21,569.99,46.35,8.96,6.78,4.2,0
C4762,2016-12-31,Retail,539301573.31,10417818.36,142101617.65,135721861.29,16635829.51,81229475.24,8935242.2764,16579892.06,0.02,0.0308,1.05,81.87,33.32,7.28,2.78,5.98,0
C4681,2021-09-30,Energy,952997516.08,55185052.97,176602961.26,140002150.19,159920266.51,43687455.94,8737491.188,159953492.54999998,0.06,0.1678,1.26,225.79,11.67,-4.69,3.91,1.89,0
C1343,2023-09-30,Finance,862245354.49,87190770.81,282896624.31,198658056.07,94165656.94,216874217.09,28193648.2217,94203473.26,0.11,0.1092,1.42,289.12,33.0,7.86,1.35,4.7,0
C2055,2023-03-31,Energy,379133409.82,255909783.82,136967099.69,48020513.83,54138083.12,175474688.19,17547468.819000002,54147609.64,2.08,0.1428,2.85,966.82,51.07,4.3,1.16,3.84,0
C5924,2019-06-30,Finance,206347167.61,120119680.3,71814724.36,43157922.09,35913745.12,63250112.2,8855015.708,35960882.22,1.39,0.174,1.66,241.01,40.77,-4.44,4.56,1.57,0
C1517,2015-12-31,Energy,418516326.97,222494290.47,155507876.66,45941228.51,65695147.49,22084893.84,6625468.152,65662552.49,1.14,0.157,3.38,227.68,16.93,7.18,6.07,7.66,0
C3472,2015-09-30,Finance,7923164.85,226337.64,1152095.91,876722.73,-499146.15,1670627.12,300712.8816,-524559.13,0.03,-0.063,1.31,467.31,49.94,-1.56,3.6,4.69,1
C3040,2016-12-31,Retail,886980217.77,690629301.68,209272358.98,132529948.81,162060656.64,255183062.9,15310983.774,162100053.83999997,3.52,0.1827,1.58,936.06,49.06,6.87,1.25,6.16,1
C2964,2020-03-31,Retail,519103704.36,197338550.49,182326682.66,42747877.56,86906796.2,191548285.15,26816759.921000004,86830853.82000001,0.61,0.1674,4.27,507.24,59.03,-4.64,8.53,5.9,0
C2211,2018-09-30,Energy,310357777.34,208117311.54,105886293.74,30447841.5,-704279.79,82475010.35,9072251.1385,-798617.3500000001,2.04,-0.0023,3.48,67.97,43.66,1.21,2.99,7.16,1
C5371,2021-12-31,Finance,666468591.02,157565520.09,56591852.22,5575941.6,58215278.17,136331137.11,16359736.4532,58159456.690000005,0.31,0.0873,10.15,43.86,44.45,0.86,2.55,4.61,0
C4051,2018-12-31,Healthcare,612676984.11,57962758.93,278125100.57,155801145.04,104762512.32,145386273.48,33438842.9004,104841536.84,0.1,0.171,1.79,603.08,30.44,3.64,2.09,5.92,0
C4354,2018-09-30,Retail,687792827.16,389667989.35,339255150.59,128525033.67,99546260.98,170857512.98,15377176.1682,99628674.1,1.31,0.1447,2.64,64.63,12.11,-1.03,10.0,1.15,0
C3918,2022-06-30,Finance,128096299.34,99924763.34,36480079.47,25508370.45,8908541.27,28382907.09,6528068.630700001,8981609.889999999,3.55,0.0695,1.43,960.67,59.5,3.93,1.33,5.05,1
C4800,2018-06-30,Retail,348010517.65,170974122.06,172789709.46,152914479.33,64503727.33,75577263.45,7557726.345000001,64406428.68,0.97,0.1853,1.13,48.54,46.32,0.45,6.71,4.87,0
C3507,2024-09-30,Manufacturing,69753007.8,7646757.9,1600345.78,1265705.64,7394577.64,16588714.31,4478952.863700001,7310508.37,0.12,0.106,1.26,41.98,31.2,-1.04,5.02,7.32,0
C3542,2018-03-31,Energy,871582969.78,664034195.39,236779224.99,185244493.34,128116399.31,107725176.19,18313279.9523,128153101.91,3.2,0.147,1.28,133.25,54.2,1.04,4.81,7.09,1
C2519,2023-06-30,Finance,223282876.06,75804908.44,24119563.22,8524745.33,23306187.55,77478930.56,16270575.4176,23321292.49,0.51,0.1044,2.83,597.56,35.55,4.22,4.07,7.3,0
C2805,2020-12-31,Manufacturing,860479415.8,631726874.8,30013327.87,29109296.05,123018628.61,359036815.38,75397731.2298,122979660.96,2.76,0.143,1.03,601.43,35.79,8.98,5.77,1.2,1
C2185,2022-03-31,Retail,808150380.9,81732241.87,306375816.65,170292494.75,18128485.32,248849092.59,24884909.259000003,18067309.27,0.11,0.0224,1.8,450.11,58.21,8.38,8.35,6.96,0
C2192,2024-09-30,Manufacturing,425246195.35,329966183.89,127072604.56,94967249.81,10637637.89,153895696.12,9233741.7672,10660249.69,3.46,0.025,1.34,839.35,34.15,-1.77,4.72,6.89,1
C4606,2016-03-31,Finance,880462209.66,87922179.23,373785178.64,58735144.43,41999125.17,228589043.49,66290822.6121,41995427.510000005,0.11,0.0477,6.36,388.15,35.92,-1.51,9.35,7.55,0
C3412,2019-06-30,Retail,841470562.02,491551132.93,331360233.94,60132989.14,7062690.53,121976264.56,19516202.329600003,7016846.17,1.4,0.0084,5.51,871.31,58.22,6.56,5.03,2.02,0
C2290,2022-09-30,Healthcare,367682543.87,162663808.38,122841195.83,69131258.92,66495535.05,66300338.68,15249077.8964,66449171.27,0.79,0.1809,1.78,683.35,56.29,9.68,7.43,7.6,0
C5419,2019-09-30,Finance,306372861.85,240794811.09,14035741.52,8115316.24,36439076.14,111846287.77,5592314.3885,36391422.22,3.67,0.1189,1.73,446.4,36.33,-4.0,8.25,1.94,1
C3285,2021-12-31,Manufacturing,232487533.31,171157440.7,31289696.64,24657514.91,26651164.68,79698783.34,22315659.335200004,26720727.35,2.79,0.1146,1.27,132.11,56.69,-2.92,3.51,4.66,1
C1023,2019-03-31,Manufacturing,29314656.15,2490355.08,10296122.66,8737107.64,4370504.5,11598476.44,1391817.1727999998,4468321.71,0.09,0.1491,1.18,90.98,51.05,-3.55,3.04,4.47,0
C1117,2017-03-31,Healthcare,814617538.68,489257758.79,222015818.48,81553824.2,149027082.63,258457024.26,31014842.9112,149088424.35,1.5,0.1829,2.72,636.84,16.35,-3.29,9.41,3.02,0
C1054,2021-09-30,Energy,998496382.09,737125404.34,73757030.48,67670808.34,83050817.34,287932869.75,51827916.555,83096048.65,2.82,0.0832,1.09,338.28,13.48,1.26,5.67,4.88,1
C3776,2022-09-30,Energy,377452602.2,270720945.94,48059299.02,43408286.2,4795097.81,30071017.98,6615623.9556,4893933.44,2.54,0.0127,1.11,934.14,35.42,2.92,5.95,6.55,1
C2626,2015-06-30,Finance,971166199.3,716851595.47,316312786.6,234631273.88,137983117.04,333601328.05,83400332.0125,137951094.97,2.82,0.1421,1.35,225.02,27.38,-4.27,9.69,6.18,1
C5631,2015-12-31,Manufacturing,733150153.26,122757639.49,232562957.6,230126916.15,85745878.45,141430951.23,16971714.1476,85715690.63000001,0.2,0.117,1.01,737.35,20.52,4.61,6.46,2.85,0
C5251,2023-12-31,Technology,521699544.22,379824383.14,78335420.27,4399277.91,31995285.78,186846259.95,28026938.9925,31934107.78,2.68,0.0613,17.81,390.46,46.0,-3.6,7.11,1.95,1
C4059,2023-12-31,Manufacturing,756079626.26,554715179.34,262302545.82,107995773.55,8534061.74,39439999.24,9071199.8252,8456770.05,2.75,0.0113,2.43,417.19,53.58,3.04,3.7,2.62,1
C1974,2016-03-31,Energy,725454530.39,42323187.27,329779740.68,323434307.3,112310141.67,128257069.37,19238560.4055,112384069.02,0.06,0.1548,1.02,283.79,17.09,7.34,2.34,7.35,0
C4773,2022-09-30,Energy,936469225.34,589763141.41,77294211.83,17618539.29,5867384.66,421834110.14,118113550.8392,5783962.78,1.7,0.0063,4.39,151.16,20.27,-2.29,9.44,2.83,0
C5862,2018-09-30,Technology,224727589.82,81059790.02,39313755.13,22232315.19,35937288.78,47053833.57,6116998.3641,35882875.46,0.56,0.1599,1.77,789.01,14.63,2.29,4.05,5.43,0
C1240,2020-03-31,Energy,440276573.05,338629425.41,16279683.51,8164659.37,13352200.96,178527586.68,10711655.2008,13343229.81,3.33,0.0303,1.99,397.77,14.61,0.65,8.19,1.96,1
C3114,2017-09-30,Finance,132212220.88,103225741.58,3380439.47,863561.1,13548042.47,38645090.81,6956116.3458,13596062.01,3.56,0.1025,3.91,6.55,38.19,4.22,2.49,5.61,1
C3547,2015-03-31,Energy,264502049.42,193070100.33,47350595.87,38619668.93,5957985.81,37992277.99,7598455.598000001,5906372.38,2.7,0.0225,1.23,956.72,37.58,5.97,5.83,3.85,1
C2191,2020-12-31,Energy,599480481.89,444566206.48,99165913.81,6867086.34,104664523.36,82067048.72,24620114.616,104732547.76,2.87,0.1746,14.44,429.76,41.41,-0.84,1.3,4.68,1
C3689,2021-03-31,Healthcare,60052867.71,18240898.23,5137370.0,4732125.87,9512514.06,5039881.49,856779.8533000001,9604179.0,0.44,0.1584,1.09,413.55,32.4,0.12,5.18,5.18,0
C4028,2017-12-31,Healthcare,321767030.82,241143121.86,96255416.39,10414777.01,23163974.92,115089132.88,33375848.5352,23211648.85,2.99,0.072,9.24,185.28,50.96,-4.95,5.08,3.42,1
C5117,2016-09-30,Technology,61605466.93,45271035.62,5564536.75,3403709.43,4819605.6,21619972.03,3891594.9654,4797551.449999999,2.77,0.0782,1.63,75.86,11.32,-1.44,7.58,5.33,1
